"WEC Canvass Reporting System",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Ward by Ward Report",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"2016 General Election",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"PRESIDENT OF THE UNITED STATES",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,"Total Votes Cast","REP","DEM","CON","LIB",,"WGR","IND","IND","IND","IND","IND","IND","IND","IND","IND","IND","IND",
,"CITY OF RACINE Ward 16","1,255",541,631,4,50,,19,0,0,0,10,0,0,0,0,0,0,0,0
,"CITY OF RACINE Ward 17",437,79,336,2,16,,4,0,0,0,0,0,0,0,0,0,0,0,0
,"CITY OF RACINE Ward 18",383,25,350,0,8,,0,0,0,0,0,0,0,0,0,0,0,0,0
,"CITY OF RACINE Ward 19",336,23,306,0,4,,2,0,1,0,0,0,0,0,0,0,0,0,0
,"CITY OF RACINE Ward 20","1,351",525,750,5,46,,17,0,1,0,7,0,0,0,0,0,0,0,0
,"CITY OF RACINE Ward 21",904,258,590,1,39,,7,2,1,0,6,0,0,0,0,0,0,0,0
,"CITY OF RACINE Ward 22","1,359",439,834,3,59,,20,1,0,0,3,0,0,0,0,0,0,0,0
,"CITY OF RACINE Ward 23","1,123",356,708,6,28,,19,1,0,0,5,0,0,0,0,0,0,0,0
,"CITY OF RACINE Ward 24","1,040",376,584,7,47,,18,3,0,0,5,0,0,0,0,0,0,0,0
,"CITY OF RACINE Ward 25",952,253,658,4,21,,10,0,2,0,4,0,0,0,0,0,0,0,0
,"CITY OF RACINE Ward 26",155,80,71,0,3,,1,0,0,0,0,0,0,0,0,0,0,0,0
,"CITY OF RACINE Ward 27","1,467",591,769,5,57,,27,3,2,0,13,0,0,0,0,0,0,0,0
,"CITY OF RACINE Ward 28","1,192",449,656,5,53,,19,2,0,0,8,0,0,0,0,0,0,0,0
,"CITY OF RACINE Ward 29","1,106",422,608,2,58,,13,1,0,0,2,0,0,0,0,0,0,0,0
,"CITY OF RACINE Ward 30",861,243,573,1,29,,9,2,1,0,3,0,0,0,0,0,0,0,0
,"CITY OF RACINE Ward 31",557,205,326,3,10,,8,0,0,0,5,0,0,0,0,0,0,0,0
,"CITY OF RACINE Ward 32",683,176,468,5,17,,10,2,4,0,1,0,0,0,0,0,0,0,0
,"CITY OF RACINE Ward 33",794,276,482,5,20,,8,2,0,0,1,0,0,0,0,0,0,0,0
,"CITY OF RACINE Ward 34",902,352,498,0,43,,7,0,1,0,1,0,0,0,0,0,0,0,0
,"CITY OF RACINE Ward 35",829,297,494,1,31,,3,1,0,0,2,0,0,0,0,0,0,0,0
,"CITY OF RACINE Ward 36",590,162,397,1,21,,5,1,1,0,2,0,0,0,0,0,0,0,0
,"County Totals:","94,302","46,681","42,641",368,"3,253",,833,58,44,0,414,5,0,1,0,4,0,0,0
"RICHLAND ","TOWN OF AKAN Ward 1",214,117,87,0,8,,1,0,0,0,0,0,0,0,0,0,0,0,1
,"TOWN OF BLOOM Ward 1",239,116,95,1,14,,6,1,0,0,1,0,0,0,0,2,0,0,3
,"TOWN OF BUENA VISTA Wards 1-3",759,412,316,3,16,,7,1,0,0,0,0,0,0,0,0,0,0,4
,"TOWN OF BUENA VISTA Ward 4",5,4,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,"TOWN OF DAYTON Ward 1",336,177,135,2,13,,3,0,0,0,0,0,0,0,0,0,0,0,6
,"TOWN OF EAGLE Ward 1",230,138,81,0,5,,6,0,0,0,0,0,0,0,0,0,0,0,0
,"TOWN OF FOREST Ward 1",185,89,83,2,5,,5,0,0,0,0,0,0,0,0,0,0,0,1
,"TOWN OF HENRIETTA Ward 1",242,110,121,0,7,,4,0,0,0,0,0,0,0,0,0,0,0,0
,"TOWN OF ITHACA Ward 1",314,158,136,2,12,,4,1,0,0,0,0,0,0,0,0,0,0,1
,"TOWN OF MARSHALL Ward 1-2",298,174,104,1,6,,8,0,0,0,2,0,0,0,0,0,0,0,3
,"TOWN OF ORION Ward 1",275,141,121,1,6,,4,0,0,0,1,0,0,0,0,0,0,0,1
,"TOWN OF RICHLAND Ward 1-4",654,373,243,2,19,,3,0,0,0,6,0,0,0,0,0,0,0,8
,"TOWN OF RICHWOOD Ward 1-2",243,109,122,4,6,,2,0,0,0,0,0,0,0,0,0,0,0,0
,"TOWN OF ROCKBRIDGE Ward 1-3",373,182,165,1,13,,6,0,1,0,1,0,0,0,0,0,0,0,4
,"TOWN OF SYLVAN Ward 1-2",205,116,81,0,4,,3,0,0,0,0,0,0,0,0,0,0,0,1
,"TOWN OF WESTFORD Ward 1",260,133,118,0,6,,1,0,1,0,0,0,0,0,0,0,0,0,1
,"TOWN OF WILLOW Ward 1",239,122,103,0,6,,2,0,0,0,5,0,0,0,0,0,0,0,1
,"VILLAGE OF BOAZ Ward 1",61,23,33,2,2,,1,0,0,0,0,0,0,0,0,0,0,0,0
,"VILLAGE OF CAZENOVIA Ward 1",154,68,75,0,7,,2,0,0,0,0,0,0,0,0,0,0,0,2
,"VILLAGE OF LONE ROCK Ward 1",375,166,181,1,16,,7,0,0,0,0,0,0,0,0,0,0,0,4
,"VILLAGE OF VIOLA Ward 2",179,71,95,1,8,,4,0,0,0,0,0,0,0,0,0,0,0,0
,"VILLAGE OF YUBA Ward 1",33,15,16,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0
,"CITY OF RICHLAND CENTER Ward 1",196,103,86,2,3,,1,0,0,0,0,0,0,0,0,0,0,0,1
,"CITY OF RICHLAND CENTER Ward 2",148,75,66,0,2,,2,0,0,0,2,0,0,0,0,0,0,0,1
,"CITY OF RICHLAND CENTER Ward 3",183,80,93,1,6,,2,0,0,0,0,0,0,0,0,0,0,0,1
,"CITY OF RICHLAND CENTER Ward 4",185,71,100,0,6,,4,1,1,0,1,0,0,0,0,0,0,0,1
,"CITY OF RICHLAND CENTER Ward 5",214,107,91,0,8,,2,0,0,0,1,0,0,0,0,0,0,0,5
,"CITY OF RICHLAND CENTER Ward 6",177,80,85,0,4,,3,0,0,0,4,0,0,0,0,0,0,0,1
,"CITY OF RICHLAND CENTER Ward 7",163,69,79,2,7,,3,0,0,0,1,0,0,0,0,0,0,0,2
,"CITY OF RICHLAND CENTER Ward 8",181,63,105,0,9,,2,0,0,0,1,0,0,0,0,0,0,0,1
,"CITY OF RICHLAND CENTER Ward 9",199,95,91,0,5,,2,0,0,0,3,1,0,0,0,0,0,0,2
,"CITY OF RICHLAND CENTER Ward 10",189,77,96,1,8,,7,0,0,0,0,0,0,0,0,0,0,0,0
,"CITY OF RICHLAND CENTER Ward 11",167,88,72,1,1,,3,0,0,0,0,0,0,0,0,1,0,0,1
,"CITY OF RICHLAND CENTER Ward 12",194,91,93,2,4,,1,0,0,0,0,0,0,0,0,0,0,0,3
,"County Totals:","8,069","4,013","3,569",33,243,,111,4,3,0,29,1,0,0,0,3,0,0,60
"ROCK ","TOWN OF AVON Ward 1",332,204,116,0,10,,1,0,0,0,0,0,0,0,0,0,0,0,1
,"TOWN OF BELOIT Wards 1-3","1,227",670,492,9,33,,15,0,1,0,2,0,0,0,0,0,0,0,5
,"TOWN OF BELOIT Wards 4-6","1,059",470,517,6,39,,11,1,0,0,2,0,0,0,0,0,0,0,13
,"TOWN OF BELOIT Wards 7-10","1,597",807,675,7,70,,20,1,1,0,2,0,0,0,0,0,0,0,14
,"TOWN OF BELOIT Ward 11",229,116,99,0,11,,2,0,0,0,0,0,0,0,0,0,0,0,1
,"TOWN OF BRADFORD Wards 1-2",528,304,187,4,26,,2,0,0,0,0,0,0,0,0,0,0,0,5
,"TOWN OF CENTER Wards 1-2",645,293,299,5,32,,5,1,1,0,2,0,0,0,0,0,0,0,7
,"TOWN OF CLINTON Ward 1",469,284,145,2,29,,4,0,0,0,2,0,0,0,0,0,0,0,3
,"TOWN OF FULTON Wards 1-6","1,962",926,908,10,76,,13,2,1,0,4,0,0,0,0,0,0,0,22
,"TOWN OF HARMONY Ward 1",486,225,236,0,19,,1,0,0,0,0,0,0,0,0,0,0,0,5
,"TOWN OF HARMONY Wards 2-5","1,058",528,480,10,25,,10,0,0,0,0,0,0,0,0,0,0,0,5
,"TOWN OF HARMONY Ward 6",2,0,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,"TOWN OF JANESVILLE Wards 1-6","2,007",946,942,6,74,,6,0,1,0,11,0,0,0,0,0,0,0,21
,"TOWN OF JANESVILLE Wards 7-9",217,95,94,2,18,,2,0,0,0,1,0,0,0,0,0,0,0,5
,"TOWN OF JOHNSTOWN Ward 1",468,251,192,1,20,,2,0,0,0,0,0,0,0,0,0,0,0,2
,"TOWN OF LA PRAIRIE Ward 1",345,180,140,5,15,,2,0,0,0,1,0,0,0,0,0,0,0,2
,"TOWN OF LA PRAIRIE Ward 2",124,75,45,0,1,,1,1,0,0,0,0,0,0,0,0,0,0,1
,"TOWN OF LIMA Wards 1-2",625,325,252,2,27,,9,2,0,0,2,0,0,0,0,0,0,0,6
,"TOWN OF MAGNOLIA Ward 1",400,184,188,2,14,,1,0,0,0,2,0,0,2,0,0,0,0,7
,"TOWN OF MILTON Ward 1",453,243,186,2,13,,2,0,0,0,1,0,0,0,0,0,0,0,6
,"TOWN OF MILTON Wards 2-4","1,223",600,535,7,49,,13,2,0,0,0,0,0,0,0,0,0,0,17
,"TOWN OF NEWARK Wards 1-3",877,524,317,4,26,,3,0,1,0,0,0,0,0,0,0,0,0,2
,"TOWN OF PLYMOUTH Wards 1-2",690,391,250,1,35,,6,0,0,0,2,0,0,0,0,0,0,0,5
,"TOWN OF PORTER Ward 1",600,234,350,3,8,,3,0,0,0,0,0,0,0,0,0,0,0,2
,"TOWN OF ROCK Wards 1-4,6","1,218",551,565,6,63,,17,3,0,0,5,0,0,0,0,0,0,0,8
,"TOWN OF ROCK Wards 5,7",207,112,76,1,5,,8,0,0,0,5,0,0,0,0,0,0,0,0
,"TOWN OF ROCK Ward 8",0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,"TOWN OF SPRING VALLEY Ward 1",414,224,163,0,14,,3,0,0,0,2,0,0,0,0,0,0,0,8
,"TOWN OF TURTLE Wards 1,4",601,322,245,3,12,,7,1,0,0,3,0,0,0,0,0,0,0,8
,"TOWN OF TURTLE Wards 2-3",822,492,281,5,30,,4,0,0,0,6,0,0,0,0,0,0,0,4
,"TOWN OF UNION Wards 1-4","1,098",426,612,10,32,,9,1,0,1,0,0,0,0,0,0,0,0,7
,"VILLAGE OF CLINTON Wards 1-3",997,527,361,3,67,,13,0,0,0,8,0,0,0,0,0,0,0,18
,"VILLAGE OF FOOTVILLE Ward 1",406,199,180,1,16,,3,0,0,0,1,1,0,0,0,0,0,0,5
,"VILLAGE OF ORFORDVILLE Wards 1-2",658,294,323,4,21,,8,0,1,0,1,0,0,0,0,0,0,0,6
,"CITY OF BELOIT Ward 1",369,142,207,2,8,,3,0,0,0,0,0,0,0,0,0,0,0,7
,"CITY OF BELOIT Ward 2",744,326,359,7,32,,6,1,0,0,0,0,0,0,0,0,0,0,13
,"CITY OF BELOIT Ward 3",737,341,347,1,31,,14,0,0,0,0,0,0,0,0,0,0,0,3
,"CITY OF BELOIT Ward 4",630,276,308,3,22,,15,0,0,0,1,0,0,0,0,0,0,0,5
,"CITY OF BELOIT Ward 5",629,258,319,2,20,,17,2,0,0,2,0,0,0,0,0,0,0,9
,"CITY OF BELOIT Ward 6",476,138,295,1,23,,12,0,1,0,1,0,0,0,0,0,0,0,5
,"CITY OF BELOIT Ward 7",454,116,307,3,15,,6,3,0,0,0,0,0,0,0,0,0,0,4
,"CITY OF BELOIT Ward 8",44,13,30,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0
,"CITY OF BELOIT Ward 9",460,155,272,6,10,,12,0,0,0,0,0,0,0,0,0,0,0,5
,"CITY OF BELOIT Ward 10",579,216,325,2,24,,4,0,0,0,0,0,0,0,0,0,0,0,8
,"CITY OF BELOIT Ward 11",665,260,365,4,22,,8,0,0,0,0,0,0,0,0,0,0,0,6
,"CITY OF BELOIT Ward 12",241,62,169,1,6,,3,0,0,0,0,0,0,0,0,0,0,0,0
,"CITY OF BELOIT Ward 13",417,69,328,0,10,,7,0,0,0,0,0,0,0,0,0,0,0,3
,"CITY OF BELOIT Ward 14",535,105,410,2,8,,4,0,0,0,0,0,0,0,0,0,0,0,6
,"CITY OF BELOIT Ward 15",537,163,339,1,20,,8,0,1,0,0,0,0,0,0,0,0,0,5
,"CITY OF BELOIT Ward 16",780,110,625,1,21,,13,3,0,0,2,0,0,0,0,0,0,0,5
,"CITY OF BELOIT Ward 17",770,226,485,4,20,,17,0,2,0,0,0,0,0,1,0,0,0,15
,"CITY OF BELOIT Ward 18",563,167,356,5,24,,8,0,0,0,0,0,0,0,0,0,0,0,3
,"CITY OF BELOIT Ward 19",431,155,261,0,9,,1,0,1,0,0,0,0,0,0,0,0,0,4
,"CITY OF BELOIT Ward 20",496,163,310,6,12,,4,0,0,0,0,0,0,0,0,0,0,0,1
,"CITY OF BELOIT Ward 21",614,212,354,3,27,,12,0,1,0,0,0,0,0,0,0,0,0,5
,"CITY OF BELOIT Ward 22",642,259,337,2,30,,2,2,0,0,0,0,0,0,0,0,0,0,10
,"CITY OF BELOIT Ward 23","1,126",540,523,7,28,,10,0,0,0,4,0,0,0,0,0,0,0,14
,"CITY OF BELOIT Ward 24",595,260,295,2,23,,6,0,1,0,0,0,0,0,0,0,0,0,8
,"CITY OF BELOIT Ward 25",0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,"CITY OF BRODHEAD Wards 7-8",31,13,14,0,4,,0,0,0,0,0,0,0,0,0,0,0,0,0
,"CITY OF EDGERTON Ward 1-6","2,748",918,"1,635",10,110,,30,4,2,0,12,0,0,0,0,0,0,0,27
,"CITY OF EVANSVILLE Wards 1-10","2,791",907,"1,701",14,95,,41,2,3,0,5,0,0,0,0,0,0,0,23
,"CITY OF JANESVILLE Ward 1","1,340",540,714,2,46,,11,2,0,0,2,0,0,0,0,0,0,0,23
,"CITY OF JANESVILLE Ward 2","1,271",482,691,6,58,,19,1,0,0,0,0,0,0,0,0,0,0,14
,"CITY OF JANESVILLE Ward 3",930,306,532,5,45,,25,2,1,0,0,0,0,0,0,0,0,0,14
,"CITY OF JANESVILLE Ward 4",762,274,415,5,30,,20,0,2,0,1,0,0,0,0,0,0,0,15
,"CITY OF JANESVILLE Ward 5","1,164",445,646,5,33,,15,1,2,0,0,0,0,0,0,0,0,0,17
,"CITY OF JANESVILLE Ward 6",837,358,417,5,37,,10,0,0,0,0,2,0,0,0,0,0,0,8
,"CITY OF JANESVILLE Ward 7","1,355",477,816,4,34,,14,1,0,0,5,0,0,0,0,0,0,0,4
,"CITY OF JANESVILLE Ward 8","1,063",429,554,9,42,,15,0,0,0,0,0,0,0,0,0,0,0,14
,"CITY OF JANESVILLE Ward 9",947,361,522,4,36,,11,0,0,0,0,0,0,0,0,0,0,0,13
,"CITY OF JANESVILLE Ward 10",782,301,429,4,29,,9,1,0,0,2,0,0,0,0,0,0,0,7
,"CITY OF JANESVILLE Ward 11","1,040",348,595,6,50,,23,4,1,0,0,0,0,0,0,0,0,0,13
,"CITY OF JANESVILLE Ward 12","1,578",671,817,1,52,,10,0,0,0,5,2,0,0,0,0,0,0,20
,"CITY OF JANESVILLE Ward 13","1,321",429,773,11,47,,27,0,1,0,6,1,0,0,0,0,0,0,26
,"CITY OF JANESVILLE Ward 14","1,431",538,788,9,46,,23,1,0,0,6,1,0,0,0,0,0,0,19
,"CITY OF JANESVILLE Ward 15","1,018",341,583,6,50,,20,1,0,1,1,0,0,0,0,0,0,0,15
,"CITY OF JANESVILLE Ward 16",823,310,453,5,30,,13,0,1,0,0,0,0,0,0,0,0,0,11
,"CITY OF JANESVILLE Ward 17","1,413",559,752,8,50,,19,0,0,0,0,0,0,0,0,0,0,0,25
,"CITY OF JANESVILLE Ward 18","1,355",507,754,11,45,,11,1,2,0,8,0,0,0,0,0,0,0,16
,"CITY OF JANESVILLE Ward 19",412,182,190,2,23,,3,1,1,0,4,0,0,0,0,0,0,0,6
,"CITY OF JANESVILLE Ward 20",502,242,237,1,13,,1,0,0,0,0,0,0,0,0,0,0,0,8
,"CITY OF JANESVILLE Ward 21","1,214",531,595,8,55,,11,1,0,0,8,0,0,0,0,0,0,0,5
,"CITY OF JANESVILLE Ward 22","1,385",645,645,6,53,,16,0,2,0,3,0,0,0,0,0,0,0,15
,"CITY OF JANESVILLE Ward 23",684,283,365,2,22,,3,0,1,0,0,0,0,0,0,0,0,0,8
,"CITY OF JANESVILLE Ward 24",911,287,531,6,53,,15,0,1,0,3,0,0,0,0,0,0,0,15
,"CITY OF JANESVILLE Ward 25","1,251",502,678,4,37,,11,1,0,0,5,0,0,0,0,0,0,0,13
,"CITY OF JANESVILLE Ward 26",0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,"CITY OF JANESVILLE Ward 27","1,769",730,909,9,76,,19,2,1,0,0,0,0,0,0,0,0,0,23
,"CITY OF JANESVILLE Ward 28","1,435",588,745,12,58,,9,0,1,0,2,1,0,0,0,0,0,0,19
,"CITY OF JANESVILLE Ward 29",2,2,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,"CITY OF JANESVILLE Ward 30",0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,"CITY OF JANESVILLE Ward 31",0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,"CITY OF JANESVILLE Ward 32",0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,"CITY OF JANESVILLE Ward 33",0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,"CITY OF MILTON Wards 1-12","2,931","1,233","1,465",18,125,,32,6,1,0,15,0,0,0,0,0,0,0,36
,"County Totals:","76,074","31,493","39,339",385,"2,859",,885,58,37,2,168,8,0,2,1,0,0,0,837
"RUSK ","TOWN OF ATLANTA Ward 1-2",325,221,82,3,13,,5,0,0,0,0,0,0,0,0,0,0,0,1
,"TOWN OF BIG BEND Ward 1-2",265,167,90,1,6,,1,0,0,0,0,0,0,0,0,0,0,0,0
,"TOWN OF BIG FALLS Ward 1",81,51,26,1,3,,0,0,0,0,0,0,0,0,0,0,0,0,0
,"TOWN OF CEDAR RAPIDS Ward 1",26,19,7,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,"TOWN OF DEWEY Ward 1",300,198,79,2,18,,3,0,0,0,0,0,0,0,0,0,0,0,0
,"TOWN OF FLAMBEAU Ward 1-3",530,363,150,1,9,,5,0,0,0,0,0,0,0,0,0,0,0,2
,"TOWN OF GRANT Ward 1-5",366,236,114,0,13,,1,1,0,0,0,0,0,0,0,0,0,0,1
,"TOWN OF GROW Ward 1",210,169,33,0,2,,4,0,0,0,2,0,0,0,0,0,0,0,0
,"TOWN OF HAWKINS Ward 1",69,43,21,0,0,,3,0,0,0,2,0,0,0,0,0,0,0,0
,"TOWN OF HUBBARD Ward 1",98,69,21,2,4,,0,2,0,0,0,0,0,0,0,0,0,0,0
,"TOWN OF LAWRENCE Ward 1-2",127,90,26,0,6,,2,0,0,0,2,0,0,0,0,0,0,0,1
,"TOWN OF MARSHALL Ward 1-2",203,148,47,1,5,,1,0,0,0,1,0,0,0,0,0,0,0,0
,"TOWN OF MURRY Ward 1",127,89,36,0,1,,1,0,0,0,0,0,0,0,0,0,0,0,0
,"TOWN OF RICHLAND Ward 1-2",110,64,39,0,6,,1,0,0,0,0,0,0,0,0,0,0,0,0
,"TOWN OF RUSK Ward 1",320,193,113,2,6,,1,0,1,0,0,0,0,0,0,0,0,0,4
,"TOWN OF SOUTH FORK Ward 1",69,47,18,0,3,,1,0,0,0,0,0,0,0,0,0,0,0,0
,"TOWN OF STRICKLAND Ward 1-2",167,92,64,0,8,,3,0,0,0,0,0,0,0,0,0,0,0,0
,"TOWN OF STUBBS Ward 1-2",314,202,98,3,3,,7,0,0,0,0,0,0,0,0,0,0,0,1
,"TOWN OF THORNAPPLE Ward 1-5",419,316,90,3,10,,0,0,0,0,0,0,0,0,0,0,0,0,0
,"TOWN OF TRUE Ward 1",152,99,46,0,3,,2,0,0,0,0,2,0,0,0,0,0,0,0
,"TOWN OF WASHINGTON Ward 1",222,131,80,0,7,,2,0,0,0,0,0,0,0,0,0,0,0,2
,"TOWN OF WILKINSON Ward 1",32,21,7,1,1,,1,0,0,0,0,0,0,0,0,0,0,0,1
,"TOWN OF WILLARD Ward 1",237,166,67,0,4,,0,0,0,0,0,0,0,0,0,0,0,0,0
,"TOWN OF WILSON Ward 1",62,49,12,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0
,"VILLAGE OF BRUCE Ward 1",347,211,121,1,11,,3,0,0,0,0,0,0,0,0,0,0,0,0
,"VILLAGE OF CONRATH Ward 1",41,22,15,1,0,,1,2,0,0,0,0,0,0,0,0,0,0,0
,"VILLAGE OF GLEN FLORA Ward 1",36,23,11,0,1,,1,0,0,0,0,0,0,0,0,0,0,0,0
,"VILLAGE OF HAWKINS Ward 1",150,94,52,1,1,,1,0,1,0,0,0,0,0,0,0,0,0,0
,"VILLAGE OF INGRAM Ward 1",32,20,10,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0
,"VILLAGE OF SHELDON Ward 1",98,65,30,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0
,"VILLAGE OF TONY Ward 1",56,38,16,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0
,"VILLAGE OF WEYERHAEUSER Ward 1-2",105,56,43,1,5,,0,0,0,0,0,0,0,0,0,0,0,0,0
,"CITY OF LADYSMITH Ward 1-15","1,392",792,507,18,45,,13,0,1,0,4,4,0,0,0,0,0,0,8
,"County Totals:","7,088","4,564","2,171",44,197,,63,5,3,0,14,6,0,0,0,0,0,0,21
"ST. CROIX ","TOWN OF BALDWIN Wards 1-2",544,346,151,4,22,,7,1,2,0,1,2,0,0,0,0,1,0,7
,"TOWN OF CADY Ward 1",471,306,131,10,16,,4,1,0,0,1,0,0,0,0,0,0,0,2
,"TOWN OF CYLON Ward 1",369,236,108,0,14,,3,0,0,0,5,0,0,0,0,0,0,0,3
,"TOWN OF EAU GALLE Wards 1-2",660,397,210,3,37,,8,0,1,0,0,0,0,0,0,0,0,0,4
,"TOWN OF EMERALD Ward 1",410,264,124,0,12,,5,0,2,0,1,0,0,0,0,0,0,0,2
,"TOWN OF ERIN PRAIRIE Ward 1",395,240,129,3,10,,5,0,0,0,3,0,0,0,0,0,0,0,5
,"TOWN OF FOREST Ward 1",316,220,72,4,11,,3,0,2,0,3,0,0,0,0,0,0,0,1
,"TOWN OF GLENWOOD Ward 1",382,262,92,1,15,,3,1,0,0,2,0,0,0,0,0,0,0,6
,"TOWN OF HAMMOND Wards 1-3","1,253",834,311,8,78,,15,1,3,0,1,0,0,0,0,0,0,0,2
,"TOWN OF HUDSON Wards 1-14","5,004","2,866","1,760",17,248,,36,1,1,0,24,1,0,0,0,0,0,0,50
,"TOWN OF KINNICKINNIC Wards 1-3","1,059",561,419,0,48,,15,1,1,0,6,0,0,0,0,3,0,0,5
,"TOWN OF PLEASANT VALLEY Ward 1",274,146,110,3,10,,2,0,0,0,2,0,0,0,0,0,0,0,1
,"TOWN OF RICHMOND Wards 1-2",987,606,300,4,52,,10,0,0,0,4,0,0,0,0,0,0,0,11
,"TOWN OF RICHMOND Wards 3-5",915,544,275,6,65,,18,0,1,0,2,0,0,0,0,0,0,0,4
,"TOWN OF RUSH RIVER Ward 1",291,162,101,2,16,,3,1,1,0,0,0,0,0,0,0,0,0,5
,"TOWN OF ST. JOSEPH Ward 1-6","2,452","1,375",908,5,110,,24,1,4,0,10,0,0,0,0,0,0,0,15
,"TOWN OF SOMERSET Wards 1-6","2,343","1,484",709,15,99,,18,0,2,0,1,0,0,0,0,0,0,0,15
,"TOWN OF SPRINGFIELD Ward 1",503,317,148,8,21,,4,0,0,0,2,0,0,0,0,0,0,0,3
,"TOWN OF STANTON Ward 1",508,303,172,0,21,,4,0,3,0,0,0,0,0,0,0,0,0,5
,"TOWN OF STAR PRAIRIE Wards 1-6","1,912","1,214",572,15,82,,16,0,1,0,3,0,0,0,0,0,0,0,9
,"TOWN OF TROY Ward 1-7","3,229","1,779","1,219",19,137,,22,0,2,0,12,0,0,0,0,0,0,0,39
,"TOWN OF WARREN Wards 1-3",993,633,294,4,39,,8,0,3,0,9,0,0,0,0,0,0,0,3
,"VILLAGE OF BALDWIN Ward 1-6","1,921","1,052",698,7,125,,12,1,4,0,14,1,0,0,0,0,0,0,7
,"VILLAGE OF DEER PARK Ward 1",112,82,21,0,8,,0,0,1,0,0,0,0,0,0,0,0,0,0
,"VILLAGE OF HAMMOND Wards 1-4",922,481,341,6,64,,18,0,2,0,2,0,0,0,0,0,0,0,8
,"VILLAGE OF NORTH HUDSON Ward 1-6","2,223","1,108",930,14,99,,26,1,1,0,12,0,0,0,0,0,0,0,32
,"VILLAGE OF ROBERTS Wards 1-4",818,422,322,7,49,,10,0,1,0,2,0,0,0,0,0,0,0,5
,"VILLAGE OF SOMERSET Ward 1-4","1,163",704,362,9,62,,15,0,0,0,0,0,0,2,0,1,0,0,8
,"VILLAGE OF STAR PRAIRIE Ward 1",319,183,99,2,28,,7,0,0,0,0,0,0,0,0,0,0,0,0
,"VILLAGE OF SPRING VALLEY Ward 3",6,6,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
,"VILLAGE OF WILSON Ward 1",97,57,30,0,6,,1,1,2,0,0,0,0,0,0,0,0,0,0
,"VILLAGE OF WOODVILLE Ward 1-2",600,356,193,6,29,,8,0,2,0,3,0,0,0,0,0,0,0,3
,"CITY OF GLENWOOD CITY Ward 1-2",559,338,186,3,15,,7,3,2,0,2,0,0,0,0,0,0,0,3
,"CITY OF HUDSON Ward 1-2",997,476,420,11,56,,21,1,0,0,3,0,0,0,0,0,0,0,9
,"CITY OF HUDSON Ward 3-4","1,670",851,707,6,75,,9,0,2,0,5,0,0,0,0,0,0,0,15
,"CITY OF HUDSON Ward 5-6","1,221",522,609,8,51,,11,0,0,0,6,0,0,0,0,1,0,0,13
,"CITY OF HUDSON Ward 7-8","1,182",562,511,5,76,,11,0,0,0,9,0,0,0,0,0,0,0,8
,"CITY OF HUDSON Ward 9-10","1,204",444,646,2,56,,20,1,0,0,18,0,0,0,1,0,0,0,16
,"CITY OF HUDSON Ward 11-12","1,242",570,537,7,73,,19,0,3,0,7,0,0,0,0,0,0,0,26
,"CITY OF NEW RICHMOND Wards 1-6","1,902",973,777,17,84,,31,1,3,0,3,0,0,0,0,0,0,0,13
,"CITY OF NEW RICHMOND Wards 7-12","2,152","1,124",850,15,111,,19,2,8,0,7,0,0,0,0,0,0,0,16
,"CITY OF RIVER FALLS Wards 1-4,15","1,928",816,928,11,107,,32,1,1,0,9,0,0,0,0,0,0,0,23
,"County Totals:","47,508","26,222","17,482",267,"2,337",,510,20,61,0,194,4,0,2,1,5,1,0,402
"SAUK ","TOWN OF BARABOO Wards 1-4","1,048",520,476,1,30,,13,0,0,0,7,0,0,0,0,1,0,0,0
,"TOWN OF BEAR CREEK Ward 1",342,150,174,0,12,,5,1,0,0,0,0,0,0,0,0,0,0,0
,"TOWN OF DELLONA Wards 1-2",892,488,356,2,30,,11,1,2,0,2,0,0,0,0,0,0,0,0
,"TOWN OF DELTON Wards 1-4","1,155",597,492,4,38,,18,0,0,0,6,0,0,0,0,0,0,0,0
